scheduled_departure,departure_status,departure_delay_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,air_temperature,dew_point_temperature,altimeter,ts
2023-09-16 19:00:00,in_time,0.0,300.0,7.0,,10000.0,,,,,,,,,,,,30.0,14.0,30.0,0
2023-09-16 03:00:00,in_time,0.0,110.0,3.0,,9999.0,,,,OVC,1300.0,,,,,,,15.0,13.0,30.18,0
2023-09-18 10:00:00,in_time,0.0,40.0,4.0,,10000.0,,,,,,,,,,,,20.0,17.0,30.12,0
2023-09-18 00:00:00,in_time,0.0,60.0,2.0,,10000.0,,,,,,,,,,,,21.0,15.0,30.09,0
2023-09-17 20:00:00,delayed,29.0,290.0,7.0,,10000.0,,,,,,,,,,,,32.0,8.0,30.03,0
2023-09-17 12:00:00,delayed,71.0,60.0,8.0,,10000.0,,,,,,,,,,,,22.0,18.0,30.15,0
2023-09-17 19:00:00,in_time,0.0,280.0,11.0,,10000.0,,,,,,,,,,,,33.0,7.0,30.03,0
2023-09-18 19:00:00,in_time,0.0,320.0,6.0,,9999.0,,,,FEW,4500.0,SCT,6500.0,BKN,9000.0,,,33.0,13.0,30.03,0
2023-09-19 10:00:00,in_time,0.0,80.0,2.0,,10000.0,,,,,,,,,,,,21.0,17.0,30.12,0
2023-09-19 01:00:00,delayed,28.0,130.0,2.0,,10000.0,,,,,,,,,,,,23.0,15.0,30.12,0
2023-09-19 00:00:00,delayed,33.0,190.0,2.0,,10000.0,,,,,,,,,,,,22.0,17.0,30.12,0
2023-09-18 20:00:00,in_time,0.0,300.0,8.0,,9999.0,VCTS,,,FEW,4500.0,SCT,6500.0,BKN,9000.0,,,32.0,13.0,30.03,0
2023-09-18 03:00:00,in_time,0.0,90.0,3.0,,10000.0,,,,,,,,,,,,20.0,14.0,30.12,0
2023-09-19 19:00:00,delayed,16.0,80.0,7.0,,10000.0,,,,,,,,,,,,32.0,9.0,30.0,0
2023-09-20 10:00:00,in_time,0.0,160.0,2.0,,8000.0,,,,BKN,1700.0,,,,,,,19.0,16.0,30.15,0
2023-09-20 01:00:00,in_time,0.0,150.0,2.0,,10000.0,,,,,,,,,,,,22.0,14.0,30.09,0
2023-09-20 00:00:00,delayed,134.0,150.0,2.0,,10000.0,,,,,,,,,,,,22.0,13.0,30.09,0
2023-09-19 20:00:00,delayed,67.0,100.0,7.0,,10000.0,,,,,,,,,,,,31.0,11.0,30.0,0
2023-09-19 12:00:00,in_time,0.0,70.0,6.0,,10000.0,,,,,,,,,,,,23.0,15.0,30.12,0
